Step,AgentID,wealth,strategy_type
1.0,1,11.5,Cooperator
1.0,2,7.0,Cooperator
1.0,3,11.5,Cooperator
1.0,4,15.0,Defector
1.0,5,8.0,Defector
1.0,6,8.0,Defector
1.0,7,7.0,TitForTat
1.0,8,11.5,TitForTat
1.0,9,7.0,TitForTat
1.0,10,15.0,LLM_rationale
1.0,11,15.0,LLM_machiavellian
1.0,12,11.5,LLM_pro-social
2.0,1,13.0,Cooperator
2.0,2,4.0,Cooperator
2.0,3,13.0,Cooperator
2.0,4,20.0,Defector
2.0,5,13.0,Defector
2.0,6,13.0,Defector
2.0,7,4.0,TitForTat
2.0,8,8.5,TitForTat
2.0,9,4.0,TitForTat
2.0,10,20.0,LLM_rationale
2.0,11,20.0,LLM_machiavellian
2.0,12,8.5,LLM_pro-social
3.0,1,14.5,Cooperator
3.0,2,1.0,Cooperator
3.0,3,14.5,Cooperator
3.0,4,25.0,Defector
3.0,5,18.0,Defector
3.0,6,11.0,Defector
3.0,7,5.5,TitForTat
3.0,8,5.5,TitForTat
3.0,9,1.0,TitForTat
3.0,10,25.0,LLM_rationale
3.0,11,18.0,LLM_machiavellian
3.0,12,10.0,LLM_pro-social
4.0,1,16.0,Cooperator
4.0,2,2.5,Cooperator
4.0,3,16.0,Cooperator
4.0,4,23.0,Defector
4.0,5,16.0,Defector
4.0,6,16.0,Defector
4.0,7,2.5,TitForTat
4.0,8,7.0,TitForTat
4.0,9,-1.0,TitForTat
4.0,10,26.5,LLM_rationale
4.0,11,16.0,LLM_machiavellian
4.0,12,11.5,LLM_pro-social
5.0,1,13.0,Cooperator
5.0,2,4.0,Cooperator
5.0,3,17.5,Cooperator
5.0,4,23.0,Defector
5.0,5,21.0,Defector
5.0,6,14.0,Defector
5.0,7,4.0,TitForTat
5.0,8,4.0,TitForTat
5.0,9,-1.0,TitForTat
5.0,10,24.5,LLM_rationale
5.0,11,21.0,LLM_machiavellian
5.0,12,13.0,LLM_pro-social
6.0,1,10.0,Cooperator
6.0,2,5.5,Cooperator
6.0,3,19.0,Cooperator
6.0,4,28.0,Defector
6.0,5,19.0,Defector
6.0,6,12.0,Defector
6.0,7,2.0,TitForTat
6.0,8,1.0,TitForTat
6.0,9,-1.0,TitForTat
6.0,10,29.5,LLM_rationale
6.0,11,19.0,LLM_machiavellian
6.0,12,13.0,LLM_pro-social
7.0,1,11.5,Cooperator
7.0,2,2.5,Cooperator
7.0,3,16.0,Cooperator
7.0,4,33.0,Defector
7.0,5,24.0,Defector
7.0,6,10.0,Defector
7.0,7,2.0,TitForTat
7.0,8,-1.0,TitForTat
7.0,9,-1.0,TitForTat
7.0,10,27.5,LLM_rationale
7.0,11,17.0,LLM_machiavellian
7.0,12,14.5,LLM_pro-social
8.0,1,13.0,Cooperator
8.0,2,-0.5,Cooperator
8.0,3,13.0,Cooperator
8.0,4,38.0,Defector
8.0,5,29.0,Defector
8.0,6,8.0,Defector
8.0,7,3.5,TitForTat
8.0,8,-1.0,TitForTat
8.0,9,-1.0,TitForTat
8.0,10,32.5,LLM_rationale
8.0,11,15.0,LLM_machiavellian
8.0,12,11.5,LLM_pro-social
9.0,1,10.0,Cooperator
9.0,2,-0.5,Cooperator
9.0,3,14.5,Cooperator
9.0,4,38.0,Defector
9.0,5,27.0,Defector
9.0,6,6.0,Defector
9.0,7,0.5,TitForTat
9.0,8,-1.0,TitForTat
9.0,9,-1.0,TitForTat
9.0,10,37.5,LLM_rationale
9.0,11,20.0,LLM_machiavellian
9.0,12,13.0,LLM_pro-social
10.0,1,11.5,Cooperator
10.0,2,-0.5,Cooperator
10.0,3,11.5,Cooperator
10.0,4,43.0,Defector
10.0,5,25.0,Defector
10.0,6,4.0,Defector
10.0,7,-1.5,TitForTat
10.0,8,-1.0,TitForTat
10.0,9,-1.0,TitForTat
10.0,10,37.5,LLM_rationale
10.0,11,18.0,LLM_machiavellian
10.0,12,14.5,LLM_pro-social
11.0,1,8.5,Cooperator
11.0,2,-0.5,Cooperator
11.0,3,8.5,Cooperator
11.0,4,48.0,Defector
11.0,5,30.0,Defector
11.0,6,2.0,Defector
11.0,7,-1.5,TitForTat
11.0,8,-1.0,TitForTat
11.0,9,-1.0,TitForTat
11.0,10,35.5,LLM_rationale
11.0,11,23.0,LLM_machiavellian
11.0,12,11.5,LLM_pro-social
12.0,1,5.5,Cooperator
12.0,2,-0.5,Cooperator
12.0,3,5.5,Cooperator
12.0,4,46.0,Defector
12.0,5,28.0,Defector
12.0,6,7.0,Defector
12.0,7,-1.5,TitForTat
12.0,8,-1.0,TitForTat
12.0,9,-1.0,TitForTat
12.0,10,40.5,LLM_rationale
12.0,11,28.0,LLM_machiavellian
12.0,12,8.5,LLM_pro-social
13.0,1,2.5,Cooperator
13.0,2,-0.5,Cooperator
13.0,3,2.5,Cooperator
13.0,4,51.0,Defector
13.0,5,33.0,Defector
13.0,6,12.0,Defector
13.0,7,-1.5,TitForTat
13.0,8,-1.0,TitForTat
13.0,9,-1.0,TitForTat
13.0,10,38.5,LLM_rationale
13.0,11,26.0,LLM_machiavellian
13.0,12,5.5,LLM_pro-social
14.0,1,4.0,Cooperator
14.0,2,-0.5,Cooperator
14.0,3,4.0,Cooperator
14.0,4,49.0,Defector
14.0,5,31.0,Defector
14.0,6,10.0,Defector
14.0,7,-1.5,TitForTat
14.0,8,-1.0,TitForTat
14.0,9,-1.0,TitForTat
14.0,10,36.5,LLM_rationale
14.0,11,24.0,LLM_machiavellian
14.0,12,3.5,LLM_pro-social
15.0,1,5.5,Cooperator
15.0,2,-0.5,Cooperator
15.0,3,5.5,Cooperator
15.0,4,47.0,Defector
15.0,5,29.0,Defector
15.0,6,8.0,Defector
15.0,7,-1.5,TitForTat
15.0,8,-1.0,TitForTat
15.0,9,-1.0,TitForTat
15.0,10,34.5,LLM_rationale
15.0,11,29.0,LLM_machiavellian
15.0,12,0.5,LLM_pro-social
16.0,1,2.5,Cooperator
16.0,2,-0.5,Cooperator
16.0,3,2.5,Cooperator
16.0,4,52.0,Defector
16.0,5,34.0,Defector
16.0,6,6.0,Defector
16.0,7,-1.5,TitForTat
16.0,8,-1.0,TitForTat
16.0,9,-1.0,TitForTat
16.0,10,31.5,LLM_rationale
16.0,11,34.0,LLM_machiavellian
16.0,12,-1.5,LLM_pro-social
17.0,1,2.5,Cooperator
17.0,2,-0.5,Cooperator
17.0,3,-0.5,Cooperator
17.0,4,57.0,Defector
17.0,5,32.0,Defector
17.0,6,4.0,Defector
17.0,7,-1.5,TitForTat
17.0,8,-1.0,TitForTat
17.0,9,-1.0,TitForTat
17.0,10,29.5,LLM_rationale
17.0,11,32.0,LLM_machiavellian
17.0,12,-1.5,LLM_pro-social
18.0,1,-0.5,Cooperator
18.0,2,-0.5,Cooperator
18.0,3,-0.5,Cooperator
18.0,4,55.0,Defector
18.0,5,30.0,Defector
18.0,6,2.0,Defector
18.0,7,-1.5,TitForTat
18.0,8,-1.0,TitForTat
18.0,9,-1.0,TitForTat
18.0,10,34.5,LLM_rationale
18.0,11,30.0,LLM_machiavellian
18.0,12,-1.5,LLM_pro-social
19.0,1,-0.5,Cooperator
19.0,2,-0.5,Cooperator
19.0,3,-0.5,Cooperator
19.0,4,53.0,Defector
19.0,5,28.0,Defector
19.0,6,0.0,Defector
19.0,7,-1.5,TitForTat
19.0,8,-1.0,TitForTat
19.0,9,-1.0,TitForTat
19.0,10,32.5,LLM_rationale
19.0,11,30.0,LLM_machiavellian
19.0,12,-1.5,LLM_pro-social
20.0,1,-0.5,Cooperator
20.0,2,-0.5,Cooperator
20.0,3,-0.5,Cooperator
20.0,4,51.0,Defector
20.0,5,26.0,Defector
20.0,6,0.0,Defector
20.0,7,-1.5,TitForTat
20.0,8,-1.0,TitForTat
20.0,9,-1.0,TitForTat
20.0,10,30.5,LLM_rationale
20.0,11,28.0,LLM_machiavellian
20.0,12,-1.5,LLM_pro-social
21.0,1,-0.5,Cooperator
21.0,2,-0.5,Cooperator
21.0,3,-0.5,Cooperator
21.0,4,49.0,Defector
21.0,5,24.0,Defector
21.0,6,0.0,Defector
21.0,7,-1.5,TitForTat
21.0,8,-1.0,TitForTat
21.0,9,-1.0,TitForTat
21.0,10,28.5,LLM_rationale
21.0,11,26.0,LLM_machiavellian
21.0,12,-1.5,LLM_pro-social
22.0,1,-0.5,Cooperator
22.0,2,-0.5,Cooperator
22.0,3,-0.5,Cooperator
22.0,4,47.0,Defector
22.0,5,22.0,Defector
22.0,6,0.0,Defector
22.0,7,-1.5,TitForTat
22.0,8,-1.0,TitForTat
22.0,9,-1.0,TitForTat
22.0,10,26.5,LLM_rationale
22.0,11,24.0,LLM_machiavellian
22.0,12,-1.5,LLM_pro-social
23.0,1,-0.5,Cooperator
23.0,2,-0.5,Cooperator
23.0,3,-0.5,Cooperator
23.0,4,45.0,Defector
23.0,5,20.0,Defector
23.0,6,0.0,Defector
23.0,7,-1.5,TitForTat
23.0,8,-1.0,TitForTat
23.0,9,-1.0,TitForTat
23.0,10,24.5,LLM_rationale
23.0,11,22.0,LLM_machiavellian
23.0,12,-1.5,LLM_pro-social
24.0,1,-0.5,Cooperator
24.0,2,-0.5,Cooperator
24.0,3,-0.5,Cooperator
24.0,4,43.0,Defector
24.0,5,18.0,Defector
24.0,6,0.0,Defector
24.0,7,-1.5,TitForTat
24.0,8,-1.0,TitForTat
24.0,9,-1.0,TitForTat
24.0,10,22.5,LLM_rationale
24.0,11,20.0,LLM_machiavellian
24.0,12,-1.5,LLM_pro-social
25.0,1,-0.5,Cooperator
25.0,2,-0.5,Cooperator
25.0,3,-0.5,Cooperator
25.0,4,41.0,Defector
25.0,5,16.0,Defector
25.0,6,0.0,Defector
25.0,7,-1.5,TitForTat
25.0,8,-1.0,TitForTat
25.0,9,-1.0,TitForTat
25.0,10,20.5,LLM_rationale
25.0,11,18.0,LLM_machiavellian
25.0,12,-1.5,LLM_pro-social
26.0,1,-0.5,Cooperator
26.0,2,-0.5,Cooperator
26.0,3,-0.5,Cooperator
26.0,4,39.0,Defector
26.0,5,14.0,Defector
26.0,6,0.0,Defector
26.0,7,-1.5,TitForTat
26.0,8,-1.0,TitForTat
26.0,9,-1.0,TitForTat
26.0,10,18.5,LLM_rationale
26.0,11,16.0,LLM_machiavellian
26.0,12,-1.5,LLM_pro-social
27.0,1,-0.5,Cooperator
27.0,2,-0.5,Cooperator
27.0,3,-0.5,Cooperator
27.0,4,37.0,Defector
27.0,5,12.0,Defector
27.0,6,0.0,Defector
27.0,7,-1.5,TitForTat
27.0,8,-1.0,TitForTat
27.0,9,-1.0,TitForTat
27.0,10,16.5,LLM_rationale
27.0,11,14.0,LLM_machiavellian
27.0,12,-1.5,LLM_pro-social
28.0,1,-0.5,Cooperator
28.0,2,-0.5,Cooperator
28.0,3,-0.5,Cooperator
28.0,4,35.0,Defector
28.0,5,10.0,Defector
28.0,6,0.0,Defector
28.0,7,-1.5,TitForTat
28.0,8,-1.0,TitForTat
28.0,9,-1.0,TitForTat
28.0,10,14.5,LLM_rationale
28.0,11,12.0,LLM_machiavellian
28.0,12,-1.5,LLM_pro-social
29.0,1,-0.5,Cooperator
29.0,2,-0.5,Cooperator
29.0,3,-0.5,Cooperator
29.0,4,33.0,Defector
29.0,5,8.0,Defector
29.0,6,0.0,Defector
29.0,7,-1.5,TitForTat
29.0,8,-1.0,TitForTat
29.0,9,-1.0,TitForTat
29.0,10,12.5,LLM_rationale
29.0,11,10.0,LLM_machiavellian
29.0,12,-1.5,LLM_pro-social
30.0,1,-0.5,Cooperator
30.0,2,-0.5,Cooperator
30.0,3,-0.5,Cooperator
30.0,4,31.0,Defector
30.0,5,6.0,Defector
30.0,6,0.0,Defector
30.0,7,-1.5,TitForTat
30.0,8,-1.0,TitForTat
30.0,9,-1.0,TitForTat
30.0,10,10.5,LLM_rationale
30.0,11,8.0,LLM_machiavellian
30.0,12,-1.5,LLM_pro-social
31.0,1,-0.5,Cooperator
31.0,2,-0.5,Cooperator
31.0,3,-0.5,Cooperator
31.0,4,29.0,Defector
31.0,5,4.0,Defector
31.0,6,0.0,Defector
31.0,7,-1.5,TitForTat
31.0,8,-1.0,TitForTat
31.0,9,-1.0,TitForTat
31.0,10,8.5,LLM_rationale
31.0,11,6.0,LLM_machiavellian
31.0,12,-1.5,LLM_pro-social
32.0,1,-0.5,Cooperator
32.0,2,-0.5,Cooperator
32.0,3,-0.5,Cooperator
32.0,4,27.0,Defector
32.0,5,2.0,Defector
32.0,6,0.0,Defector
32.0,7,-1.5,TitForTat
32.0,8,-1.0,TitForTat
32.0,9,-1.0,TitForTat
32.0,10,6.5,LLM_rationale
32.0,11,4.0,LLM_machiavellian
32.0,12,-1.5,LLM_pro-social
33.0,1,-0.5,Cooperator
33.0,2,-0.5,Cooperator
33.0,3,-0.5,Cooperator
33.0,4,25.0,Defector
33.0,5,0.0,Defector
33.0,6,0.0,Defector
33.0,7,-1.5,TitForTat
33.0,8,-1.0,TitForTat
33.0,9,-1.0,TitForTat
33.0,10,4.5,LLM_rationale
33.0,11,2.0,LLM_machiavellian
33.0,12,-1.5,LLM_pro-social
34.0,1,-0.5,Cooperator
34.0,2,-0.5,Cooperator
34.0,3,-0.5,Cooperator
34.0,4,23.0,Defector
34.0,5,0.0,Defector
34.0,6,0.0,Defector
34.0,7,-1.5,TitForTat
34.0,8,-1.0,TitForTat
34.0,9,-1.0,TitForTat
34.0,10,2.5,LLM_rationale
34.0,11,2.0,LLM_machiavellian
34.0,12,-1.5,LLM_pro-social
35.0,1,-0.5,Cooperator
35.0,2,-0.5,Cooperator
35.0,3,-0.5,Cooperator
35.0,4,21.0,Defector
35.0,5,0.0,Defector
35.0,6,0.0,Defector
35.0,7,-1.5,TitForTat
35.0,8,-1.0,TitForTat
35.0,9,-1.0,TitForTat
35.0,10,0.5,LLM_rationale
35.0,11,2.0,LLM_machiavellian
35.0,12,-1.5,LLM_pro-social
36.0,1,-0.5,Cooperator
36.0,2,-0.5,Cooperator
36.0,3,-0.5,Cooperator
36.0,4,19.0,Defector
36.0,5,0.0,Defector
36.0,6,0.0,Defector
36.0,7,-1.5,TitForTat
36.0,8,-1.0,TitForTat
36.0,9,-1.0,TitForTat
36.0,10,-1.5,LLM_rationale
36.0,11,2.0,LLM_machiavellian
36.0,12,-1.5,LLM_pro-social
37.0,1,-0.5,Cooperator
37.0,2,-0.5,Cooperator
37.0,3,-0.5,Cooperator
37.0,4,17.0,Defector
37.0,5,0.0,Defector
37.0,6,0.0,Defector
37.0,7,-1.5,TitForTat
37.0,8,-1.0,TitForTat
37.0,9,-1.0,TitForTat
37.0,10,-1.5,LLM_rationale
37.0,11,0.0,LLM_machiavellian
37.0,12,-1.5,LLM_pro-social
